100,7,0
90,10,1
79,21,2
74,27,3
66,35,4
62,38,5
55,43,6
49,48,7
45,49,8
39,53,9
36,54,10
33,58,11
33,56,12
31,53,13
26,57,14
23,61,15
21,61,16
18,60,17
14,60,18
13,58,19
13,56,20
14,53,21
12,53,22
13,52,23
14,52,24
14,48,25
14,46,26
11,46,27
12,43,28
10,44,29
11,43,30
9,44,31
10,39,32
8,38,33
7,39,34
10,37,35
8,35,36
8,35,37
8,34,38
7,34,39
7,35,40
9,33,41
8,30,42
7,27,43
8,26,44
9,25,45
9,24,46
10,26,47
8,27,48
6,28,49
6,31,50
6,29,51
5,29,52
5,24,53
4,26,54
6,26,55
5,26,56
6,26,57
5,27,58
5,27,59
4,26,60
5,26,61
7,27,62
7,24,63
7,25,64
8,23,65
10,23,66
10,22,67
10,23,68
9,23,69
11,23,70
10,24,71
8,25,72
9,23,73
11,23,74
10,24,75
11,23,76
15,22,77
17,21,78
17,22,79
18,23,80
18,24,81
16,22,82
14,23,83
15,23,84
14,26,85
15,26,86
14,26,87
13,27,88
13,26,89
13,26,90
11,28,91
10,27,92
8,29,93
7,30,94
7,31,95
7,31,96
8,29,97
7,30,98
7,30,99
8,29,100
